5 0 1 0.262375 2.09854 0 56.5625 307631 12493 1500 false
5 1 2 1.49554 11.9552 0 390.281 303976 1640 1500 false
5 2 3 11.9885 95.979 0 3122.25 363307 2707 1500 false
5 3 4 11.25 90.0128 0 12730.8 606855 11408 1500 false
5 4 5 10 79.9802 0 12730.8 734716 1063 1500 false
5 5 6 11.25 89.9684 0 12730.8 743805 136 1500 false
5 6 7 11.25 90.0548 0 12730.8 730124 278 1500 false
5 7 8 11.25 89.9977 0 12730.8 716078 465 1500 false
5 8 9 11.25 90.0074 0 12730.8 708029 203 1500 false
5 9 10 10 79.9922 0 12730.8 729699 3336 1500 false
